City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Rikitea,PF,75.33,overcast clouds,-23.1203,-134.9692,Pension Maro'i
9,Sao Joao Da Barra,BR,78.89,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
10,Rio Casca,BR,79.74,few clouds,-20.2261,-42.6508,Hotel Morada do Sol
22,Gat,IL,76.82,clear sky,31.61,34.7642,OlusHome
55,Kapaa,US,75.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Puerto Carreno,CO,75.04,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
57,Casablanca,MA,77.22,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
63,Atuona,PF,78.33,overcast clouds,-9.8,-139.0333,Villa Enata
71,Maragogi,BR,79.84,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
74,San Policarpo,PH,79.12,moderate rain,12.1791,125.5072,JM Lodge
79,Yinchuan,CN,79.79,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
90,Hambantota,LK,79.88,scattered clouds,6.1241,81.1185,Bungalow 63
107,Kismayo,SO,78.93,broken clouds,-0.3582,42.5454,Agan-Hotel
108,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
123,Buala,SB,79.29,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
134,Waingapu,ID,76.23,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
137,Hobyo,SO,79.32,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
148,Dryden,CA,77.29,clear sky,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
166,Sao Filipe,CV,78.19,few clouds,14.8961,-24.4956,Hotel Xaguate
167,Marsh Harbour,BS,79.81,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
176,Anaconda,US,76.19,scattered clouds,46.1285,-112.9423,Trade Wind Motel
179,Na Wa,TH,75.49,moderate rain,17.4897,104.1006,ร้านช่างเจมส์ สแตนเลส ประตู อื่นๆ คอกซิ่ง นาหว้านครพนม
189,Bengkulu,ID,76.51,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
191,Yokadouma,CM,75.27,light rain,3.5167,15.05,Hôtel De Ville De Yokadouma
195,Padang,ID,76.17,overcast clouds,-0.9492,100.3543,Mercure Padang
220,Loandjili,CG,79.7,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
237,Kilindoni,TZ,79.61,broken clouds,-7.9139,39.6668,Bustani B&B
243,Manokwari,ID,77.52,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
246,Biak,ID,76.53,overcast clouds,-0.9131,122.8766,Penginapan Kim
248,Pangkalanbuun,ID,78.06,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
283,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
287,Tubigan,PH,77.9,overcast clouds,8.5322,124.3122,MOONBAY White Beach Resort Co.
300,Cidreira,BR,77.49,clear sky,-30.1811,-50.2056,Hotel Castelo
303,Matara,LK,79.0,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
316,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
337,Dingle,PH,77.2,light rain,10.9995,122.6711,SEGAYA PROPERTY
339,Bintulu,MY,79.21,scattered clouds,3.1667,113.0333,900 Boutique INN
341,Tautira,PF,77.02,broken clouds,-17.7333,-149.15,Pension Oaoa
344,Vanimo,PG,75.24,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
350,Ambulu,ID,75.7,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
355,Kupang,ID,77.14,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
364,Port-Gentil,GA,79.63,overcast clouds,-0.7193,8.7815,Fengshui Residence
368,Namatanai,PG,79.3,light rain,-3.6667,152.4333,Seagulls Inn Namatani
374,Springdale,US,77.72,clear sky,36.1867,-94.1288,Springdale Inn
385,Arraial Do Cabo,BR,78.66,few clouds,-22.9661,-42.0278,Pousada Porto Praia
395,Witu,KE,77.74,broken clouds,-2.3889,40.4382,New City Guest House
402,Booue,GA,79.86,light rain,-0.0921,11.9385,Splendeur de l'équateur
404,Cockburn Town,TC,79.65,clear sky,21.4612,-71.1419,Osprey Beach Hotel
406,Bahce,TR,79.56,clear sky,37.1972,36.5766,Bahçe Park Otel Osmaniye
408,Nanakuli,US,76.1,clear sky,21.3906,-158.1547,Camp Pālehua
412,Mitsamiouli,KM,79.02,broken clouds,-11.3847,43.2844,Foyer ADM
422,Le Port,RE,75.16,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
429,Luganville,VU,76.23,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
432,Mogadishu,SO,79.39,broken clouds,2.0371,45.3438,Hotel Juba
434,Mataram,ID,76.01,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
439,Alugan,PH,78.75,light rain,12.2188,125.4808,JM Lodge
440,Meulaboh,ID,77.36,overcast clouds,4.1363,96.1285,Kost Pria
449,Saint-Georges,GD,76.68,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
456,Faya,SA,75.72,few clouds,18.3851,42.4509,مقبرة ال مجمل
466,Sambava,MG,75.33,overcast clouds,-14.2667,50.1667,Melrose
469,Imbituba,BR,76.89,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
471,Encruzilhada,BR,76.35,broken clouds,-15.5314,-40.9094,Hotel e Restaurante Rio Pardo
476,Semporna,MY,77.2,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
477,Namibe,AO,77.65,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
480,Pinega,RU,75.76,clear sky,64.7001,43.3936,"Gostevoy Dom Ooo ""Pinezh'yeles"""
491,Santa Isabel,BR,78.1,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
497,Carballo,ES,77.58,clear sky,43.213,-8.691,Pazo do Souto
502,Ischia,IT,76.55,overcast clouds,40.7342,13.9471,Hotel Ulisse
509,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
513,Burkburnett,US,75.92,broken clouds,34.0979,-98.5706,Best Western Red River Inn
518,Muzaffarabad,PK,77.95,light rain,34.37,73.4711,Pearl Continental Muzaffarabad
523,Lucapa,AO,79.0,broken clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
528,Nanning,CN,76.08,scattered clouds,22.8167,108.3167,Nanning Travelling With Hostel
546,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
550,Nanchong,CN,75.22,overcast clouds,30.7951,106.0847,Marine Una Century Hotel
551,Itoman,JP,79.57,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
570,Pontianak,ID,78.78,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
577,Altus,US,75.06,broken clouds,34.6381,-99.334,"Holiday Inn Express & Suites Altus, an IHG Hotel"
578,Finschhafen,PG,77.47,broken clouds,-6.6024,147.8681,Cossam Guest House
590,Wana,PK,79.34,few clouds,32.2989,69.5725,Rest House at Wana Camp
594,Savannakhet,LA,76.91,overcast clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์
599,Moroni,KM,77.25,light rain,-11.7022,43.2551,Hotel les Arcades
608,Rock Sound,BS,79.11,broken clouds,24.9,-76.2,Rock Sound Club
620,Tura,IN,75.49,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
622,Santa Maria,BR,77.02,broken clouds,-29.6842,-53.8069,Hotel Morotin
623,Kroya,ID,77.2,broken clouds,-7.6331,109.2461,RUSTANTO Fam
625,Acari,PE,75.15,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
633,Presidencia Roque Saenz Pena,AR,75.85,overcast clouds,-26.7852,-60.4388,Hotel Gualok
634,Kieta,PG,78.26,few clouds,-6.2167,155.6333,Uruna Bay Retreat
635,Caruaru,BR,79.05,broken clouds,-8.2833,-35.9761,Hotel Central
637,Hami,CN,77.09,moderate rain,42.8,93.45,Laoyutang Resort
650,Palora,EC,78.78,light rain,-1.7,-77.9333,Rancho grande
663,Madang,PG,75.78,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
666,Sioux Lookout,CA,77.38,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
681,Auki,SB,76.53,overcast clouds,-8.7676,160.7034,Auki Motel
