City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Russell,US,32.3502,-85.1999,85.98,65,75,3.47,broken clouds
1,Vaini,TO,-21.2,-175.2,74.3,56,100,13.4,overcast clouds
2,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,100,90,17.54,light rain
3,Busselton,AU,-33.65,115.3333,56.08,76,12,10.85,few clouds
4,Hilo,US,19.7297,-155.09,71.8,73,75,3.44,broken clouds
5,Ancud,CL,-41.8697,-73.8203,49.53,73,80,2.15,broken clouds
6,Pandhana,IN,21.7,76.2167,85.64,54,56,3.42,broken clouds
7,Colon,PA,9.3592,-79.9014,92.25,76,53,4.0,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,75.33,80,100,10.11,overcast clouds
9,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,74,12,5.61,few clouds
10,Rio Casca,BR,-20.2261,-42.6508,79.74,50,19,4.63,few clouds
11,Ushuaia,AR,-54.8,-68.3,33.42,86,40,5.75,scattered clouds
12,Lumberton,US,34.6182,-79.0086,86.09,70,100,2.59,overcast clouds
13,Liwale,TZ,-9.7667,37.9333,70.16,69,55,6.82,broken clouds
14,Port Elizabeth,ZA,-33.918,25.5701,61.11,78,0,13.71,clear sky
15,Cabo San Lucas,MX,22.8909,-109.9124,96.51,37,1,9.22,clear sky
16,Airai,TL,-8.9266,125.4092,57.74,92,79,3.13,broken clouds
17,Hobart,AU,-42.8794,147.3294,47.01,72,90,1.99,overcast clouds
18,Port Alfred,ZA,-33.5906,26.891,61.88,81,0,13.69,clear sky
19,Manaus,BR,-3.1019,-60.025,86.5,78,40,2.3,light rain
20,Punta Arenas,CL,-53.15,-70.9167,39.31,90,20,8.03,few clouds
21,Castro,BR,-24.7911,-50.0119,73.24,48,1,8.93,clear sky
22,Gat,IL,31.61,34.7642,76.82,34,0,11.7,clear sky
23,Tasiilaq,GL,65.6145,-37.6368,41.16,98,100,7.49,light rain
24,Gorom-Gorom,BF,14.4439,-0.2361,109.54,12,1,8.79,clear sky
25,Poum,NC,-20.2333,164.0167,73.85,80,100,18.86,overcast clouds
26,Baykit,RU,61.67,96.37,39.11,73,24,3.58,few clouds
27,Butaritari,KI,3.0707,172.7902,82.31,69,52,5.79,broken clouds
28,Katsuura,JP,35.1333,140.3,72.1,89,96,9.84,overcast clouds
29,Saint-Philippe,RE,-21.3585,55.7679,74.75,84,45,4.74,light rain
30,Yellowknife,CA,62.456,-114.3525,60.3,63,100,8.57,overcast clouds
31,Cape Town,ZA,-33.9258,18.4232,66.34,44,0,3.53,clear sky
32,Arlit,NE,18.7369,7.3853,111.18,5,86,14.88,overcast clouds
33,Ixtapa,MX,20.7,-105.2,85.23,62,20,3.44,few clouds
34,Ilulissat,GL,69.2167,-51.1,42.82,65,1,8.05,clear sky
35,Hermanus,ZA,-34.4187,19.2345,55.8,59,0,4.38,clear sky
36,Platnirovskaya,RU,45.3953,39.3842,67.78,86,99,7.4,overcast clouds
37,Albany,US,42.6001,-73.9662,85.32,57,16,1.99,few clouds
38,Hithadhoo,MV,-0.6,73.0833,83.21,74,100,13.62,moderate rain
39,Norman Wells,CA,65.282,-126.8329,36.43,96,100,11.12,light rain
40,Oktyabrskiy,RU,54.4815,53.471,57.81,71,69,2.51,broken clouds
41,Oktyabrskoye,RU,43.0645,44.7417,57.34,100,90,2.95,light rain
42,Soavinandriana,MG,-19.1667,46.7333,55.24,68,21,3.53,few clouds
43,Upernavik,GL,72.7868,-56.1549,37.54,83,57,2.73,broken clouds
44,Barrow,US,71.2906,-156.7887,30.22,93,90,9.22,mist
45,Bluff,NZ,-46.6,168.3333,49.8,65,90,8.99,overcast clouds
46,Iqaluit,CA,63.7506,-68.5145,33.53,93,75,8.01,light snow
47,Nikolskoye,RU,59.7035,30.7861,74.8,48,75,4.09,broken clouds
48,Bredasdorp,ZA,-34.5322,20.0403,55.27,69,0,2.89,clear sky
49,Cayenne,GF,4.9333,-52.3333,82.44,86,75,3.0,broken clouds
50,Ishigaki,JP,24.3448,124.1572,80.22,89,100,14.23,light rain
51,Naberera,TZ,-4.2,36.9333,65.37,66,68,13.62,broken clouds
52,Mataura,NZ,-46.1927,168.8643,49.48,95,57,1.45,broken clouds
