City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cabo San Lucas,MX,5/31/21 15:18,22.8909,-109.9124,85.8,57,1,0
1,Vostok,RU,5/31/21 15:21,46.4856,135.8833,43.39,93,68,3.58
2,Kodiak,US,5/31/21 15:21,57.79,-152.4072,45.91,87,90,9.22
3,Kavaratti,IN,5/31/21 15:21,10.5669,72.642,83.77,76,21,22.48
4,Hithadhoo,MV,5/31/21 15:21,-0.6,73.0833,84.07,70,82,16.64
5,Bredasdorp,ZA,5/31/21 15:19,-34.5322,20.0403,61.92,63,28,10.63
6,Archidona,ES,5/31/21 15:21,37.0965,-4.3887,84.02,41,83,11.72
7,Tuktoyaktuk,CA,5/31/21 15:21,69.4541,-133.0374,30.2,86,90,12.66
8,Rikitea,PF,5/31/21 15:18,-23.1203,-134.9692,74.08,66,0,13.47
9,Leningradskiy,RU,5/31/21 15:21,69.3833,178.4167,28.38,96,84,11.07
10,Bayanday,RU,5/31/21 15:21,53.0661,105.5139,36.9,72,54,6.42
11,Kewanee,US,5/31/21 15:21,41.2456,-89.9248,67.32,67,100,7.96
12,Bull Savanna,JM,5/31/21 15:21,17.8868,-77.5902,81.7,63,100,6.98
13,Ushuaia,AR,5/31/21 15:18,-54.8,-68.3,31.66,80,75,0
14,New Norfolk,AU,5/31/21 15:19,-42.7826,147.0587,45.72,84,100,1.01
15,Coquimbo,CL,5/31/21 15:18,-29.9533,-71.3436,62.33,67,0,7.18
16,Hermanus,ZA,5/31/21 15:21,-34.4187,19.2345,58.89,76,53,10.04
17,Nome,US,5/31/21 15:21,64.5011,-165.4064,46.47,61,1,0
18,Pitimbu,BR,5/31/21 15:18,-7.4706,-34.8086,79.39,78,41,13
19,Atambua,ID,5/31/21 15:21,-9.1061,124.8925,72.88,87,65,2.53
20,Jamestown,US,5/31/21 15:18,42.097,-79.2353,64.18,42,1,4
21,Vaini,TO,5/31/21 15:18,-21.2,-175.2,71.76,88,90,10.36
22,Walvis Bay,NA,5/31/21 15:21,-22.9575,14.5053,74.35,40,0,22.91
23,Santa Maria,BR,5/31/21 15:16,-29.6842,-53.8069,58.42,49,10,0.6
24,Dingle,PH,5/31/21 15:19,10.9995,122.6711,78.91,90,100,2.66
25,Mahebourg,MU,5/31/21 15:21,-20.4081,57.7,74.25,83,40,5.75
26,Tilichiki,RU,5/31/21 15:21,60.4667,166.1,35.98,82,100,3.71
27,Lavrentiya,RU,5/31/21 15:21,65.5833,-171,28.94,87,22,8.93
28,Bluff,NZ,5/31/21 15:21,-46.6,168.3333,49.8,66,93,6.04
29,Punta Arenas,CL,5/31/21 15:21,-53.15,-70.9167,32.02,80,0,3.56
30,Guerrero Negro,MX,5/31/21 15:21,27.9769,-114.0611,62.01,73,2,8.7
31,Airai,TL,5/31/21 15:21,-8.9266,125.4092,59.61,96,95,1.97
32,Luderitz,NA,5/31/21 15:21,-26.6481,15.1594,65.98,57,0,27.27
33,Castro,BR,5/31/21 15:21,-24.7911,-50.0119,57.25,97,100,2.62
34,Upernavik,GL,5/31/21 15:18,72.7868,-56.1549,31.39,89,100,3.33
35,Albany,US,5/31/21 15:21,42.6001,-73.9662,54.72,80,99,6.82
36,Victoria,HK,5/31/21 15:18,22.2855,114.1577,82.38,87,100,1.99
37,Nanortalik,GL,5/31/21 15:21,60.1432,-45.2371,38.73,78,50,13
38,Narsaq,GL,5/31/21 15:21,60.9167,-46.05,46.62,57,82,7
39,Te Anau,NZ,5/31/21 15:21,-45.4167,167.7167,40.33,92,55,3.04
40,Hobart,AU,5/31/21 15:21,-42.8794,147.3294,46.06,78,100,4
41,Bengkulu,ID,5/31/21 15:21,-3.8004,102.2655,78.48,87,100,2.42
42,Boralday,KZ,5/31/21 15:21,43.3578,76.8594,75.06,35,40,4.52
